start	end	text
563000	569000	So you can do it by X and Y or X if you want to make it like thinner or Y.
569000	571000	Parang ganun po.
571000	579000	So yung the larger the number, parang kapag nag-increase yung unit,
579000	582000	like for example kanina nasa 1.0 siya.
582000	586000	Pag nanito na sa 3.0, mas lumiliit siya? Tama po?
586000	589000	No, no, no. Tama po.
589000	594000	Pero currently, parang hindi siya intuitive.
594000	599000	Siguro po as a user, kung iniisip nyo po na mas maliit yung number,
599000	602000	dapat lumitin po yung grain.
602000	605000	So this is just on my end po.
605000	609000	So currently, that's how you make the grain smaller.
609000	613000	So ito po yung adjusting the texture here.
613000	616000	Tapos you could adjust the rotation.
616000	619000	I'm not sure kung halata po dito sa floor.
619000	625000	So let's say you want to adjust the wall panel dito sa may shelf here.
625000	631000	You could rotate it from 0 until 360 the degrees.
631000	634000	Oh, natin ay kita ko naman siya.
634000	638000	Pero pwedeng iano?
638000	642000	For example, parang kailangan ba siya, pano mo siya kiniklik?
642000	645000	Parang ini-scroll ba siya? Or pwedeng mag-input ng number?
645000	647000	You can input a number.
647000	652000	Yung ginagawa ko po ngayon, I just drag the value, but you can click here.
652000	656000	So let's say if you want the specific value like 319.
656000	659000	Ay, wait. Ay mali po yun.
659000	661000	Pero yes, you could type the number.
661000	664000	Pero right now, I think it rounds to the nearest value.
664000	667000	And then when you apply it.
667000	670000	Hindi ko po siya kung halata.
670000	674000	What are your thoughts po on the previous screen?
674000	676000	Is this the right size?
676000	681000	Or would you prefer to make it as big as like the current rendering here?
681000	686000	Siguro sa akin, in terms of rendering,
686000	690000	I'm okay with kahit sa maliit lang siya.
690000	692000	Parang maliit na preview screen lang.
692000	696000	Kasi iba pa rin yung rendering screen.
696000	699000	Ako I'm fine with the sizing.
699000	703000	But siguro I don't know lang kung sa ibang designers,
703000	711000	mas prefer nila na parang ayikita na rin nila yung actual edit
711000	716000	or parang actual adjustment sa mismong current rendering screen mo.
716000	720000	Parang at the same. Parang siyang real-time edit na rin siguro.
720000	724000	Pero ako ang feedback ko dito yun.
724000	726000	Okay naman siya.
726000	728000	Pero siguro in terms of rotation.
728000	730000	Kasi parang mas...
730000	733000	Ako mas sanay kasi ako na kapag nag-rotate.
733000	734000	Ano ba anong...
734000	736000	Nung texture or bagay-bagay.
736000	738000	Sa SketchUp kasi.
738000	741000	Parang pag nirrotate mo yung texture.
741000	743000	Parang meron siyang...
743000	744000	Ano ba yun?
744000	746000	Nakamutan ko yung tawag sa kanya.
746000	747000	But may...
747000	751000	Let me open yung application.
751000	753000	Pero kasi parang...
753000	755000	Pag nirrotate mo yung isang bagay,
755000	757000	may lalabas na ruler.
757000	759000	Tapos parang naka-lock.
759000	761000	I forgot yung technical term for that.
761000	764000	Pero i-move mo siya ng...
764000	765000	Pa konti-konti.
765000	767000	So parang...
767000	769000	Divisible by 5 yung movement niya.
769000	771000	So 5, 10, 15.
771000	772000	Parang at least...
772000	774000	I forgot yung...
774000	776000	Para makita po yung...
776000	778000	Kasi parang...
778000	780000	May lumalabas na parang protractor?
780000	782000	Parang ganun, yeah.
782000	783000	Parang ganun siya.
783000	784000	Kasi parang...
784000	790000	Mas accurate or parang mas aligned yung movement ng rotation.
790000	792000	Okay.
792000	793000	Subjection lang naman.
793000	795000	Okay po.
795000	796000	Okay.
796000	800000	Actually, so nagawa na po yung rotation pero I think it's...
800000	801000	It also...
801000	803000	Hindi lang siya masyadong...
803000	806000	Hindi ko lang siya masyadong kita dito sa zoom screen.
806000	807000	Okay, sige pa.
807000	811000	Pero yung in terms of scaling, I can see...
811000	817000	Nakita ko naman na parang mas lunit yung scaling ng texture.
817000	819000	Okay, okay.
819000	820000	So yun po.
820000	823000	I think it rotated accordingly.
823000	827000	Let's say if I make it 90.
827000	832000	Okay.
832000	834000	Na iba po pa?
834000	835000	Wait lang.
835000	837000	Nakita ko yung greening niya.
837000	838000	Parang nag...
838000	839000	Ano ba siya?
839000	840000	Horizontal?
840000	841000	Parang horizontal po.
841000	843000	Okay.
843000	850000	As of now po, yung texture na ito, it's applied altogether to all three panels.
850000	857000	I mean, would you prefer to have it that way or would it be better na yung wall panels?
857000	860000	You can select each one individually.
860000	863000	Siguro, depende kasi sa texture yun.
863000	869000	Kung halimbawang metal siya or wood, I prefer na sabay-sabay siyang na-adjust.
869000	872000	Pero kung, for example, paint finish.
872000	878000	Kasi pwede mong explore yung application.
878000	881000	Pwede nilimbawa, sa first panel, iba yung kulay mo.
881000	882000	Sa second panel, iba.
882000	884000	So I think it depends on the texture.
884000	890000	Pero kung halimbawa, like wood or natural materials,
890000	894000	parang mas okay na sabay-sabay siyang na-adjust for me.
894000	895000	Okay.
895000	897000	Okay po.
897000	903000	So do you have any questions regarding the adjustment here or any suggestions about this part?
903000	906000	Regarding sa adjustment ng texture, yun lang.
906000	910000	Yung locking feature lang nung pag nag-rotate ka.
910000	911000	Okay.
911000	915000	Pag naisip ko yung tamang terms.
915000	918000	But ayun, yung parang ruler guide, something like that.
918000	919000	Yes po.
919000	920000	Sige po.
921000	925000	I'm curious lang din sa finish.
925000	928000	Kasi syempre yung...
928000	933000	When it comes to rendering, parang particular din ako sa parang ano yung sheen ng material.
933000	935000	Like matte ba siya?
935000	937000	Glossy or satin?
937000	941000	Kaya din ba siyang ma-adjust dito sa add finish na category?
941000	943000	Or iba ba yung...
943000	945000	Or wala pa siya?
945000	946000	Meron po.
946000	949000	Would you like to proceed with the add finish function?
949000	952000	So ito po sa add finish.
952000	956000	Actually, constant lang po yung options na pwede nung piliin.
956000	960000	So as of now, it's glossy or matte.
960000	963000	But this applies to all of the materials.
963000	971000	So regardless kung anong material na generate nyo po, for let's say, if you generate fabric or steel or concrete,
971000	975000	the finish will always be constant here.
975000	976000	Okay.
976000	979000	So what are your thoughts on that po?
979000	985000	Would the finish depend on the material you want to create?
985000	993000	Actually ako, I would suggest na sana mas flexible yung material finishes na choices.
993000	997000	Since may instances kasi na hindi rin...
997000	1002000	Parang very limiting lang na dalawa lang yung type of finishes na mapipili ko.
1002000	1009000	Kasi sometimes may instances na gusto ko parang in the middle siya ng glossy and matte.
1009000	1012000	So parang satin finish siya.
1012000	1016000	Parang hindi siya super glossy, hindi siya super matte.
1016000	1019000	So I think that mas maganda siguro kung...
1019000	1024000	I don't know if it's possible if maging ma-apply din parang...
1024000	1027000	Parang katulad kung paano mo na adjust yung texture.
1027000	1031000	Parang by digits, would that be possible?
1031000	1032000	By digits?
1032000	1040000	Oo, or parang kapag pinindut mo siguro na from 1 to 5 glossy siya.
1040000	1045000	From 1 below, nagiging papunta na siya sa matte.
1045000	1052000	So parang sana mas flexible yung magiging adjustment for the material finish siya para sa akin.
1052000	1055000	Okay, okay.
1055000	1059000	Okay, so parang gusto niyo po na parang slider?
1059000	1060000	Oo, parang ganun.
1060000	1069000	Kasi at least bahala na si user kung parang may freedom si user na mas ma-adjust siya yung sheen na gusto niya sa material.
1069000	1076000	Although I understand na parang mas madali yung parang ganito na point and click.
1076000	1079000	But if yun yung pwede ding...
1079000	1084000	If ever yun yung isa sa mga goal na parang maging point and click na lang siya,
1084000	1089000	baka much better if meron ding somewhere in the middle ng glossy and matte.
1089000	1091000	Okay, okay.
1091000	1099000	Yung mga finishes po, is it just limited to satin, matte, and glossy?
1099000	1107000	Or the finishes, parang depends po siya sa material na inaagawa niyo po?
1107000	1109000	I think it depends.
1109000	1112000	Pero kasi kung...
1112000	1119000	Kasi may aside sa finish, meron ding parang bump.
1119000	1125000	Kasi di ba sa pag-wood material, aside sa kung gano siyang glossy or matte,
1125000	1129000	may din siyang parang texture na parang...
1129000	1133000	I forgot, parang may bark. Parang yung rough texture.
1133000	1137000	Pero parang may option kasi sa loom yun.
1137000	1144000	Sa mga nagamit ko na application before na pwede mong imanipulate din yung bump ng isang bagay.
1144000	1148000	So kung gusto mo yung wood, mas rougher siya tignan.
1148000	1154000	But yung gloss niya is na sa middle ng matte and glossy.
1154000	1158000	Parang pwede mong manipulate sa ganang sense.
1158000	1160000	Okay, okay.
1160000	1164000	So apart from Shane, yung height map?
1164000	1166000	Parang ganun.
1166000	1168000	Parang ganun.
1168000	1171000	Parang may mukhang 3D po yung material.
1171000	1173000	Parang may depth siya.
1173000	1175000	Ah, depth. Okay.
1175000	1181000	In terms of metal naman, may iba maraming types of finishes din sa metal.
1181000	1183000	Kasi hindi naman lahat ng metal glossy.
1183000	1185000	Meron din parang in the middle ng glossy and matte.
1185000	1191000	And then meron ding parang aluminum steel or parang may texture din like brush steel.
1191000	1193000	Parang ganun.
1193000	1195000	Okay po.
1195000	1197000	Okay.
1197000	1202000	Yung matte sa tining glossy, is that also the same for fabric?
1202000	1205000	Or are there more finishes you can apply sa fabric?
1205000	1207000	Sa fabric marami din siyang types.
1207000	1209000	Kasi for example, is leather.
1209000	1212000	Di ba, glossy siya.
1212000	1217000	And then meron siyang parang yung texture na parang fingerprint texture.
1217000	1219000	Parang ganun.
1219000	1221000	Yes po.
1221000	1223000	Kapag may mga fabric din naman na matte.
1223000	1225000	Or parang may buhok.
1225000	1227000	Like yung velvet.
1227000	1230000	Parang matte siya.
1230000	1232000	Actually, matte si velvet.
1232000	1235000	Or parang may velvet din naman na parang may shine.
1235000	1240000	Tapos si velvet, meron siyang kalakteristik na parang may hair texture.
1240000	1250000	So parang hindi yung iniinsip ko na parang sana may opportunity to bump din yung mga ganun types of material.
1250000	1253000	So for velvet, may panamataas po yung bump.
1253000	1255000	Kasi di parang may hair siya.
1255000	1257000	Yes po.
1257000	1259000	Okay.
1259000	1261000	Okay, noted po.
1261000	1266000	So currently po, it uses glossy.
1266000	1273000	So with this drop down po, if you could choose, like let's say if you go to floor.
1273000	1276000	And then you want the floor to be glossy.
1276000	1278000	Ba-apply po yan.
1283000	1285000	Ah, okay. I can see it.
1285000	1290000	Parang ganun po. Or if you want it by matte.
1290000	1295000	Tapos you could do the same po for other objects here.
1295000	1298000	Parang yan yung matte ata.
1298000	1299000	Tapos you could do it for the shelves.
1299000	1303000	Parang yung gawing glossy yung wall panels.
1303000	1307000	So yan pa yung material finish.
1307000	1310000	In terms of parang speed of rendering.
1310000	1315000	Kasi isa rin yan sa malaking factor sa rendering.
1315000	1322000	Kung gaano kabiles na-apply yung texturing or yung rendering ng isang material sa view.
1322000	1331000	Kasi based from my experience, kapag glossy yung isang model, matagal yung rendering timing.
1331000	1335000	Kasi for this example, syempre wala pa siyang syadong laman.
1335000	1338000	But pag dumadami kasi yung nilalagay mo.
1338000	1339000	For example sa SketchUp.
1339000	1343000	Ako kasi ginagangka SketchUp and then Lumion for rendering.
1343000	1348000	Sa SketchUp, so syempre lagil-lagil lang ako ng model, accessories kanyang mabigat na siya.
1348000	1357000	Pag mag-render na ako, through Lumion, mas bumibigat pa siya kasi ang dami ng elements sa model.
1357000	1361000	So yung isa sigurang tamatakbo din sa isip ko for this app,
1361000	1369000	is gaano kabiles yung nagiging rendering process nya kapag marami na akong texturing na model.
1369000	1376000	Currently po, gumagamit po siya ng blender.
1376000	1378000	Do you know blender po?
1378000	1382000	Oo, narinig ko na pero I haven't yet tried using it.
1383000	1386000	So yung blender, may dalawa po siyang renderers.
1386000	1390000	One is Cycles, tapos yung isa EV.
1390000	1396000	So yung Cycles renderer po, yan yung renderer na tamatagal po.
1396000	1403000	I think that's the professional kind of renderer used for interior design.
1403000	1406000	Yan po ata yung, that's the same as Lumion.
1406000	1410000	Pero this renderer po, it uses a renderer called EV.
1410000	1416000	Mas mabilis po siya, but it's not as accurate as the one you see in Lumion.
1416000	1422000	Kaya mabilis po yung rendering process.
1422000	1430000	Pero going back to your question of what happens kung babagal po siya, kung mas marami po yung objects.
1430000	1435000	About that, what objects were you expecting more in the bedroom po?
1435000	1438000	Kung may dagdag?
1438000	1449000	For example, you're going to add appliances like kung nyari a phone, alarm clock or additional lighting fixture.
1449000	1459000	Kung nyari sa bedside lamp, sa shelving po maglalagay na ako ng mga libro, accent boxes, ganyan.
1460000	1467000	Up to those small details, ako very particular akong lagyan din siya ng texture.
1467000	1479000	Like for example kung may vase dito siya shelve, lalagyan ko talaga siya ng texture, ng glossiness or kung anumang material finish siya.
1479000	1483000	Para mas realistic tignan yung rendering.
1483000	1494000	So yun lang yung na curious ako kung gano siya, kung yung app na ito, gano siya kabilis magrender pag marami na siyang accessory elements sa setting.
1494000	1496000	Okay noted po.
1496000	1504000	Saka factor din siguro yung lighting nito.
1504000	1506000	Okay okay.
1506000	1520000	The more light sa experience ko din kasi parang mas madaming light, pagpas mas madami kang light na nilalagay sa 3D model, yun din factor din siya kung ba't bumigigat yung rendering.
1520000	1522000	Okay.
1522000	1524000	Okay understood po.
1527000	1531000	So ayun po. Do you have any comments regarding the finish?
1531000	1538000	I mean actually in this room po, were you expecting parang more furniture to be added?
1538000	1547000	Kasi sa ngayon po it has and only uses yung cabinets or drawers here, the shelves and the bed.
1547000	1566000	I think siguro parang additional element lang, siguro dagdag ka ng accessory para makita rin ng user or makita rin yung parang doability ng rendering when it comes sa mga accessories din.
1566000	1574000	Saka sa ilaw. For example ceiling lamp or yung bedside lamp.
1575000	1583000	Would adding more furniture like let's say like a study table or let's say a chair, would that also be helpful?
1583000	1589000	I think pero for me yung more on accessories lang.
1589000	1592000	Sige po. Okay noted.
1592000	1597000	Okay so shall we move on to the module yung may adding color?
1597000	1598000	Okay sure.
1598000	1603000	Okay po. So here currently if you press this, parang wala po siyang color.
1603000	1608000	But if you select this, may malalabas po na color picker.
1608000	1611000	So you could create your own color here.
1611000	1615000	Parang ito yung color palette na pinili niyo po.
1615000	1618000	So sa mong pisa, wala po siyang color.
1618000	1626000	But with this you can actually apply it onto the part of the object.
1626000	1629000	So let's say with the floor, can you apply this?
1634000	1637000	Parang magiging ganyan po yung blending.
1637000	1640000	Pero ano pa rin siya? Wood material pa rin?
1640000	1642000	Wood material pa rin po.
1642000	1646000	Na manipulate lang yung color niyo?
1646000	1648000	Yes po.
1648000	1654000	So this is just simply through using the rendering application I use.
1654000	1656000	So yun you can pick different materials.
1656000	1661000	Pero let's say wala po kayong color palette na naisip.
1661000	1666000	You could actually go to this option called suggest colors.
1666000	1670000	And then with this, this uses AI.
1670000	1674000	Kung alam niyo pa yung nag-trending ngayon, if you're aware po,
1674000	1676000	do you know chat GPT?
1676000	1678000	Oh yeah.
1678000	1683000	Automatically gumagawa siya ng essay for a specific,
1683000	1685000	kung ano yung ilalagay mong parang topic.
1685000	1690000	And then automatically mag-generate siya ng parang article or something.
1690000	1692000	Parang gano'n, tamo ba?
1692000	1693000	Yes po.
1693000	1699000	So this prototype, it takes advantage of chat GPT as an API.
1699000	1702000	Tapos from here, you could, from this drop-down,
1702000	1708000	currently you could have it suggest color palettes based on interior design style po.
1708000	1711000	So may drop-down po ito.
1711000	1716000	And dito yung mga choices like industrial or bohemian, minimalist.
1716000	1719000	And so when you suggest the color palettes.
1725000	1727000	Cool naman.
1728000	1732000	So yun po may malalabas na color palettes here po.
1732000	1734000	You could also refresh again po.
1734000	1740000	Okay, tas ibang set of color palettes yung ipaproject mo.
1740000	1742000	Yes.
1742000	1749000	It's not always consistent, but it makes color palettes up to five swatches.
1749000	1750000	So yun po.
1750000	1754000	So after that, you could let's say select more than one.
1754000	1756000	Tapos pwede niyo siya sa save.
1756000	1760000	Napag nasave niyo siya, when you go back to the generate tab,
1760000	1762000	malalabas po yung pala dito.
1762000	1763000	Okay.
1763000	1765000	Actually, I was about to comment that.
1765000	1771000	Masana may option na parang pwede mong pagtabi-tabihin yung mga selections mo.
1771000	1775000	Para lang makita mo siya kung mag-keep it ba or what.
1775000	1776000	Ayun po.
1776000	1777000	So parin niyo siya i-save.
1777000	1779000	Tapos nasa tabi po.
1779000	1782000	Maka ma-tabi po yung mga options.
1782000	1788000	Tapos using this, parin niyo siya i-apply to the object using these swatches.
1788000	1792000	Tapos finally, let's say you're done with it.
1792000	1795000	If you want to apply this change to the current rendering,
1795000	1800000	mag-overwrite siya, mag-overwrite na yung current rendering dito.
1800000	1801000	So how would I?
1801000	1803000	Ato, apply to current rendering.
1803000	1807000	So when you press this, when you press apply.
1807000	1811000	So as of now, yung prototype, mabagal po siya.
1811000	1816000	So yeah, pasentyan na lang po.
1816000	1817000	Okay lang po.
1817000	1824000	I think it takes around 2 minutes for the rendering to update.
1824000	1827000	Hindi ko pa alam kung bakit ganyan po.
1827000	1833000	But that's how the prototype works currently.
1834000	1839000	I think yung siguro, one factor that you can consider siguro.
1839000	1845000	Since as of now, kung ako maghahanap ng isang application,
1845000	1848000	as a designer, makakatulong sa kan sa proposal ko,
1848000	1851000	yung speed, I think factor siya.
1851000	1854000	Aside dun siyempre sa quality ng
1854000	1857000	or parang special feature na mga offer ng app.
1857000	1862000	Kasi nung nagsustart ako, nasanay ako na b-day yung gamit ko.
1862000	1869000	But sa V-Ray kasi, I'm not sure if you've also tried exploring yung mga interface noon.
1869000	1873000	Si V-Ray kasi very complex yung interface niya.
1873000	1881000	So if you want to, kung gusto mo na yung isang material na may multi-texture siya
1881000	1884000	or may mame-melepulate mo yung sheen, yung bump,
1884000	1886000	ganyan ang dami mo kailangan pin-doodle.
1886000	1889000	Nung na-experience ko ng gumamit ng gloom yun,
1889000	1891000	parang mas siya.
1891000	1893000	Mas prefer ko na siyang gumamit yun ngayon
1893000	1896000	kasi mas simple yung interface niya.
1896000	1901000	Tapos parang at the same time, mas simplified siya.
1901000	1904000	So if I wanted it na parang...
1904000	1908000	Kasa parang for me, mas simplified lang talaga yung gloom yun.
1908000	1912000	Tsaka yun nga, real-time yung parang application niya.
1912000	1914000	So kabang i-adjust ko siya,
1914000	1916000	nakikita ko na rin agad sa current rendering
1916000	1919000	kung ano yung parang possible na magiging itsyuran.
1919000	1923000	Pero yun, pinaka-factor ko talaga sa ngayon yung speed ng rendering
1923000	1929000	kasi makakasave siya ng time,
1929000	1931000	especially kapag sabay-sabay yung project.
1935000	1938000	Ano yung name ng first app na ginamit niya po
1938000	1939000	na medyo mahirap gamitin?
1939000	1940000	V-Ray?
1940000	1942000	V-Ray, yeah.
1942000	1944000	How do you spell that?
1944000	1947000	Letter V as in victory,
1947000	1952000	and then R, rabbit, apple, and then yellow.
1952000	1955000	Apple, yellow, V-Ray software.
1955000	1959000	Ano siya, rendering software siya na
1959000	1962000	usually ginagamit na plug-in sa SketchUp
1962000	1965000	or pwede rin siyang incorporate sa 3DS Max.
1965000	1966000	I don't know if you...
1966000	1968000	Yes po.
1968000	1969000	Okay.
1969000	1973000	Siya po, I'll look into this V-Ray, pati Lumion.
1973000	1975000	Lumion, I've heard of that before.
1975000	1976000	Okay.
1976000	1977000	Actually, may isa pa yun.
1977000	1978000	May isa pang...
1978000	1982000	May isa ba kami application na tinintignan na i-purchase recently
1982000	1987000	kasi parang mas simplified pa siya kesa sa Lumion.
1987000	1990000	So simplified na si Lumion, pero mas simplified pa siya.
1990000	1991000	Parang gano'n.
1991000	1992000	Ano po yung name ng app?
1992000	1993000	Let me ask.
1993000	1995000	I-ask pa lang sa team isa.
1998000	1999000	Sige lang natin ang app.
2003000	2004000	Nscape.
2004000	2007000	So it's letter E.
2007000	2008000	Yup.
2008000	2011000	N-s-n-d.
2011000	2012000	Tapos scape.
2012000	2013000	Scape.
2013000	2014000	Nscape.
2014000	2015000	D-a-p-e.
2015000	2016000	Yup.
2016000	2019000	Real-time rendering and virtual reality.
2019000	2020000	Sige po.
2020000	2025000	Parang sabi nila, sabi ng mga other designers na friends ko
2025000	2028000	na naka-try ng gumamit yan.
2028000	2031000	Parang mas simplified version pa siya ng Lumion.
2031000	2032000	According to them.
2032000	2035000	But ayun, I haven't tried using it pa.
2035000	2042000	Kasi yung cost din ng original version ng application
2042000	2046000	medyo mahal siya, pero mas mura siya compared sa Lumion.
2047000	2048000	Sige po.
2048000	2051000	I'll check out the interface po nito.
2051000	2053000	And check ko siyang gayahin.
2053000	2054000	Okay.
2054000	2055000	Sige po.
2055000	2058000	So ayun po, if you look at the current rendering,
2058000	2060000	ayun, mara-reflect po siya.
2060000	2061000	Tapos yung sa kanan po.
2061000	2062000	Sorry, may bug dito.
2062000	2065000	But if kung napili niyo po yung bed,
2065000	2070000	parang nareflekt din yung mga materials for each part.
2070000	2072000	So for yung bed frame.
2072000	2074000	Headboard, same panin siya.
2074000	2078000	Tapos yung floor, yung material.
2078000	2080000	Malalabas din po yung finish.
2080000	2084000	Pero yung color, hindi po siya kita dito.
2084000	2089000	Would it help kung ma-check niya din po yung color dito?
2089000	2093000	I think, mas maganda kung may input.
2093000	2095000	Parang mara-reflect din dito.
2095000	2098000	Para lang makita din up close if ano ba yung
2098000	2102000	parang adjusted color niya
2102000	2104000	or yung adjustment din sa material.
2104000	2109000	I have pala one more comment habang nag-rendering time.
2109000	2114000	Kasi minsan, kung ginagamit ko yung V-Ray,
2114000	2116000	kung nag-render siya, ang nag-show lang
2116000	2118000	is yung percentage ng rendering.
2118000	2121000	So habang nag-aantay ka yung percentage na
2121000	2124000	nakita mo of 25, 50, tas mag-90.
2124000	2127000	Tapos eto naman sa loong yun,
2127000	2129000	based on my experience,
2129000	2132000	ang nakareflekt naman sa kanya
2132000	2134000	is hindi siya naka-percentage.
2134000	2135000	Naka-time siya.
2135000	2137000	So may nakikita ng user kung
2137000	2139000	gano ba siya katagal mag-aantay?
2139000	2141000	Like, for example, 2 minutes
2141000	2143000	before siya ma-final render.
2143000	2146000	So parang for me, based on my experience,
2146000	2148000	pag nakikita ko na yung time na
2148000	2149000	okay, 5 minutes pa siya,
2149000	2151000	so I can do other things pa
2151000	2153000	while it's rendering.
2153000	2154000	So parang I don't know if
2154000	2157000	nakaka-help din siya sa UX or UI design
2157000	2159000	nito parang gano'n.
2159000	2160000	Okay, okay.
2160000	2161000	Okay, noted po.
2161000	2166000	So when you pass apply to current rendering dito,
2166000	2169000	you're hoping na may malalabas na percentage
2169000	2170000	or as in like time-gauge.
2170000	2171000	Or at least parang time,
2171000	2173000	parang at least parang ako,
2173000	2175000	personal preference mo lang.
2175000	2177000	Preferring na nakikita ko yung oras
2177000	2179000	kung gano'n siya katagal mag-aantay.
2179000	2181000	So I could do other things pa
2181000	2184000	aside from while it's rendering.
2184000	2185000	Okay, sige po.
2185000	2187000	Okay, noted.
2187000	2188000	So iyan po.
2188000	2191000	That's the generate model.
2191000	2193000	Module po.
